datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2016/05/23 15:28:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,22,0,1,-12.74274,-41.50591,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/02 20:28:54,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,5,0,0.9,-13.312,-41.317,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/16 16:18:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,17,0,1,-12.64111,-41.30156,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 20:50:27,NOAA-18,Brasil,BAHIA,LENCOIS,Caatinga,11,0.5,0.9,-12.385,-41.33,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 13:31:00,TERRA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,4,1.4,1,-12.666,-41.44,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 16:13:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,4,1.4,1,-12.65764,-41.44288,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 03:39:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4,0.9,-13.29116,-41.29951,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 04:14:08,NOAA-19D,Brasil,BAHIA,IBICOARA,Caatinga,5,3.5,0.7,-13.325,-41.297,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 04:06:00,AQUA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,5,3.8,1,-13.302,-41.286,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/17 21:07:38,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,13,0,1,-13.401,-41.305,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 04:06:00,AQUA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,5,3.7,1,-13.311,-41.287,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/19 15:46:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,14,0.8,0.5,-13.2587,-41.33522,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/01 04:17:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,4,0,1,-13.29322,-41.32197,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/16 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,11,0,1,-13.311,-41.343,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/17 21:07:38,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,13,0,0.6,-13.399,-41.291,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 13:31:00,TERRA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,4,1.5,1,-12.669,-41.446,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/09 03:50:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.02416,-41.48241,,PARNA DA CHAPADA DA DIAMANTINA
2016/11/27 16:43:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,7,0,0.9,-12.98072,-41.15351,,PARNA DA CHAPADA DA DIAMANTINA
2016/07/15 17:14:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,14,0,1,-12.7655,-41.24152,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/02 15:40:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,34,0,1,-13.12331,-41.41805,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 13:37:00,TERRA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7,0.7,-12.658,-41.505,,PARNA DA CHAPADA DA DIAMANTINA
2016/04/07 16:30:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,4,0,1,-13.15461,-41.05746,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/21 16:49:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,41,0,0.7,-12.56254,-41.32606,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 17:51:58,NOAA-19,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7.1,0.6,-12.673,-41.511,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/14 16:30:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,15,0,1,-13.13103,-41.06984,,PARNA DA CHAPADA DA DIAMANTINA
2016/08/21 01:09:00,TERRA_M-M,Brasil,BAHIA,ANDARAI,Caatinga,12,0,1,-12.782,-41.257,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/09 16:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.028,-41.479,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/02 03:58:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,0,1,-13.20244,-41.24398,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/20 03:44:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,12,0,1,-12.77687,-41.25573,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/26 16:52:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.015,-41.476,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 16:13:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4.2,1,-13.28101,-41.30306,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 16:27:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7,0.7,-12.659,-41.506,,PARNA DA CHAPADA DA DIAMANTINA
2016/08/21 01:09:00,TERRA_M-M,Brasil,BAHIA,ANDARAI,Caatinga,9,0,1,-12.772,-41.258,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/15 16:11:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0,1,-13.24387,-41.34474,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/19 16:36:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,16,0,1,-12.88577,-41.23462,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/16 21:01:42,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,19,0.4,1,-12.643,-41.296,,PARNA DA CHAPADA DA DIAMANTINA
2016/12/01 21:25:26,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,11,0,1,-13.063,-41.438,,PARNA DA CHAPADA DA DIAMANTINA
2016/07/22 17:25:19,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,20,0,1,-13.087,-41.47,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/02 03:58:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,0,1,-13.29605,-41.31282,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/25 01:39:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,25,3,1,-13.273,-41.359,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/21 15:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,23,0,1,-12.84015,-41.3442,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/02 15:40:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,35,0,1,-13.12375,-41.42176,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/20 03:44:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,12,0,1,-12.77294,-41.25497,,PARNA DA CHAPADA DA DIAMANTINA
